2019-01-07 01:12:46.043  INFO [detail-service,,,] 15616 --- [restartedMain] c.s.d.DetailserviceApplication           : No active profile set, falling back to default profiles: default
2019-01-07 01:12:46.775  INFO [detail-service,,,] 15616 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9277c8b0-f998-388b-a443-a89cbe7bc20e
2019-01-07 01:20:19.494  INFO [detail-service,,,] 15680 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c39177cb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-07 01:20:20.070  INFO [detail-service,,,] 15680 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8102 (http)
2019-01-07 01:20:20.086  INFO [detail-service,,,] 15680 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-01-07 01:20:20.087  INFO [detail-service,,,] 15680 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/9.0.13
2019-01-07 01:20:20.092  INFO [detail-service,,,] 15680 --- [restartedMain] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/serhii/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-01-07 01:20:20.169  INFO [detail-service,,,] 15680 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-01-07 01:20:20.530 DEBUG [detail-service,,,] 15680 --- [restartedMain] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> init
2019-01-07 01:20:20.690  WARN [detail-service,,,] 15680 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2019-01-07 01:20:20.834  WARN [detail-service,,,] 15680 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-01-07 01:20:20.839  WARN [detail-service,,,] 15680 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-01-07 01:20:21.138  INFO [detail-service,,,] 15680 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-01-07 01:20:21.792  INFO [detail-service,,,] 15680 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2019-01-07 01:20:22.340  INFO [detail-service,,,] 15680 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application DETAIL-SERVICE with eureka with status UP
2019-01-07 01:20:22.389  INFO [detail-service,,,] 15680 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8102 (http) with context path ''
2019-01-07 01:20:22.390  INFO [detail-service,,,] 15680 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8102
2019-01-07 01:20:22.392  INFO [detail-service,,,] 15680 --- [restartedMain] c.s.d.DetailserviceApplication           : Started DetailserviceApplication in 4.658 seconds (JVM running for 5.342)
2019-01-07 01:20:28.845  INFO [detail-service,,,] 15680 --- [http-nio-8102-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-01-07 01:20:28.869 DEBUG [detail-service,c25c00a7b0a4a082,c25c00a7b0a4a082,true] 15680 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter
2019-01-07 01:20:28.869 DEBUG [detail-service,c25c00a7b0a4a082,c25c00a7b0a4a082,true] 15680 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: request correlationId: null
2019-01-07 01:20:28.870 DEBUG [detail-service,c25c00a7b0a4a082,c25c00a7b0a4a082,true] 15680 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: correlationId: 96ab1488-7ab2-4888-9e4e-cadac8c8c3ed
2019-01-07 01:20:28.870 DEBUG [detail-service,c25c00a7b0a4a082,c25c00a7b0a4a082,true] 15680 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: requestURI: /hello/Serhii
2019-01-07 01:20:28.878 DEBUG [detail-service,c25c00a7b0a4a082,c25c00a7b0a4a082,true] 15680 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextInterceptor      : HeaderContextInterceptor -> preHandle
2019-01-07 01:20:29.196 DEBUG [detail-service,a734e133dea1ef0f,a734e133dea1ef0f,false] 15680 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter
2019-01-07 01:20:29.197 DEBUG [detail-service,a734e133dea1ef0f,a734e133dea1ef0f,false] 15680 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: request correlationId: null
2019-01-07 01:20:29.197 DEBUG [detail-service,a734e133dea1ef0f,a734e133dea1ef0f,false] 15680 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: correlationId: 087b0b56-70dc-4145-92bc-44b94d2d80f4
2019-01-07 01:20:29.225 DEBUG [detail-service,a734e133dea1ef0f,a734e133dea1ef0f,false] 15680 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: requestURI: /favicon.ico
2019-01-07 01:20:57.443  INFO [detail-service,,,] 15680 --- [Thread-20] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application DETAIL-SERVICE with eureka with status DOWN
2019-01-07 01:20:57.444  WARN [detail-service,,,] 15680 --- [Thread-20] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1546816857444, current=DOWN, previous=UP]
2019-01-07 01:20:57.447  INFO [detail-service,,,] 15680 --- [Thread-20] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-01-07 01:21:00.707 DEBUG [detail-service,,,] 15680 --- [Thread-20] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> destroy
2019-01-07 01:21:05.681  INFO [detail-service,,,] 15691 --- [restartedMain] c.s.d.DetailserviceApplication           : No active profile set, falling back to default profiles: default
2019-01-07 01:21:06.440  INFO [detail-service,,,] 15691 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9277c8b0-f998-388b-a443-a89cbe7bc20e
2019-01-07 01:21:06.632  INFO [detail-service,,,] 15691 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e5fc9738] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-07 01:21:07.213  INFO [detail-service,,,] 15691 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8102 (http)
2019-01-07 01:21:07.231  INFO [detail-service,,,] 15691 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
